meterName,meterNo,dateTime,importActiveEnergyT,currentA,currentB,currentC,voltageL12,voltageL23,voltageL31,voltageA,voltageB,voltageC,activePowerT,activePowerA,activePowerB,activePowerC,powerFactorA,powerFactorB,powerFactorC,powerFactorT
SSB-5,1,2025-05-01 00:00:00,121.755,0.068,1.469,1.495,430.050,431.395,435.449,249.045,248.191,251.365,0.021,0.141,0.206,0.002,0.973,0.563,-0.842,nan
SSB-E5,2,2025-05-01 00:00:00,6637.862,1.129,0.671,1.270,428.667,431.912,435.033,249.654,248.593,251.520,0.731,0.338,0.087,0.144,-0.177,-0.631,-0.701,nan
SSB-G,1,2025-05-01 00:00:00,8443.106,nan,0.315,0.148,426.715,428.433,428.844,246.875,246.236,248.407,0.377,0.333,0.044,0.000,0.856,-0.571,0.000,nan
DB-M,3,2025-05-01 00:00:00,17565.394,nan,nan,3.720,425.874,nan,nan,246.890,nan,248.456,1.084,nan,0.142,nan,0.484,nan,-0.984,nan
SSB-2,1,2025-05-01 00:00:00,1945.749,3.161,5.254,3.632,426.019,424.934,429.589,245.925,245.271,248.252,2.835,0.759,1.265,0.810,-0.977,0.982,-0.898,nan
DB-E6,3,2025-05-01 00:00:00,6404.506,0.753,1.158,1.215,429.540,431.912,435.867,249.315,248.417,251.289,0.259,0.093,0.102,0.064,-0.497,-0.353,-0.211,nan
DB-6,4,2025-05-01 00:00:00,228.552,0.818,0.000,1.205,429.003,431.525,435.684,248.962,247.926,251.503,0.359,0.184,0.000,0.174,0.904,0.000,0.575,nan
MSB-1,57,2025-05-01 00:00:00,14360165.400,2.115,2.348,2.154,410.660,412.200,413.440,239.040,237.860,240.240,1.512,0.486,0.538,0.488,0.957,0.963,0.943,0.955
SSB-G,1,2025-05-01 00:30:00,8443.249,2.589,0.308,0.000,420.579,422.730,423.099,243.730,243.141,245.668,0.487,0.444,0.043,0.000,0.703,-0.571,0.000,nan
SSB-EG,2,2025-05-01 00:30:00,31825.950,13.776,nan,2.688,419.981,422.039,425.865,243.493,242.535,246.035,5.992,0.000,2.039,0.656,-0.983,0.974,nan,nan
MSB-1,57,2025-05-01 00:30:00,14360350.400,2.072,2.276,2.138,414.040,415.600,416.820,241.040,239.840,242.160,1.492,0.478,0.526,0.488,0.956,0.964,0.942,0.954
SSB-2,1,2025-05-01 00:30:00,1946.989,2.067,4.744,2.973,420.993,419.723,425.087,243.399,242.338,245.823,2.258,0.477,1.129,0.652,-0.948,0.982,-0.892,nan
SSB-G,1,2025-05-01 01:00:00,8443.492,2.718,0.302,0.000,422.305,424.676,424.945,244.602,243.871,246.485,0.519,0.477,0.042,0.000,0.717,-0.568,0.000,nan
SSB-2,1,2025-05-01 01:00:00,1948.074,1.740,4.368,2.946,421.999,421.696,426.417,244.300,243.187,246.644,2.107,0.405,1.048,0.655,-0.952,0.986,-0.902,nan
DB-6,4,2025-05-01 01:00:00,228.909,0.813,0.000,1.219,418.845,421.302,425.255,242.991,242.087,245.525,0.353,0.181,0.000,0.172,0.914,0.000,0.576,nan
DB-E6,3,2025-05-01 01:00:00,6405.096,2.034,3.000,1.190,419.446,421.770,425.585,243.409,242.598,245.395,0.842,0.276,0.506,0.060,-0.557,0.695,-0.219,nan
SSB-E5,2,2025-05-01 01:00:00,6638.214,1.105,0.667,1.885,418.739,421.691,424.430,243.780,242.566,245.426,0.272,0.051,0.064,0.323,-0.168,-0.654,-0.698,nan
SSB-5,1,2025-05-01 01:00:00,121.771,0.068,1.424,1.505,420.061,421.389,425.301,243.347,242.334,245.683,0.023,0.016,0.202,0.002,0.982,0.587,0.802,nan
MSB-1,57,2025-05-01 01:00:00,14360519.400,1.571,1.615,1.512,418.260,420.160,421.540,243.460,242.580,244.860,1.107,0.370,0.383,0.355,0.966,0.975,0.957,0.967
MSB-1,57,2025-05-01 01:30:00,14360623.300,1.000,1.087,0.902,416.660,418.820,420.140,242.540,241.720,244.260,0.711,0.236,0.258,0.213,-0.970,0.981,0.969,0.974
SSB-EG,2,2025-05-01 01:30:00,31833.634,nan,nan,6.758,419.839,nan,nan,243.341,nan,245.859,nan,5.749,nan,0.684,nan,0.973,0.989,nan
SSB-G,1,2025-05-01 01:30:00,8443.692,2.558,0.271,0.000,420.528,423.218,423.137,243.928,243.127,245.772,0.442,0.442,0.000,0.000,0.708,0.000,0.000,nan
SSB-E2A,3,2025-05-01 01:30:00,14738.308,1.976,2.014,2.828,420.304,423.023,424.932,243.591,242.743,245.403,5.146,0.479,0.488,0.624,-0.954,0.977,-0.919,nan
SSB-E2,2,2025-05-01 01:30:00,18721.640,6.381,6.551,10.861,420.000,422.068,424.213,243.798,242.999,245.596,5.493,0.199,0.739,2.437,0.952,0.989,0.914,nan
SSB-2,1,2025-05-01 01:30:00,1949.153,1.648,4.339,3.168,420.872,420.537,425.376,243.363,242.733,245.915,2.125,0.386,1.040,0.699,-0.961,0.988,0.897,nan
SSB-2,1,2025-05-01 02:00:00,1950.171,1.656,3.784,2.029,420.553,420.410,426.021,243.485,242.704,245.994,1.731,0.388,0.913,0.430,-0.962,0.994,-0.861,nan
SSB-E2,2,2025-05-01 02:00:00,6491.363,1.064,1.819,9.666,419.560,424.017,424.664,243.742,242.728,246.105,5.074,1.435,1.540,2.098,0.949,0.983,0.884,nan
SSB-G,1,2025-05-01 02:00:00,8443.913,2.365,0.255,0.133,421.250,423.732,424.118,243.910,243.323,245.933,0.395,0.395,0.000,0.000,0.686,0.000,0.000,nan
SSB-EG,2,2025-05-01 02:00:00,31838.036,23.901,11.785,nan,420.019,422.583,426.376,243.510,nan,nan,nan,5.755,2.628,nan,nan,nan,0.989,nan
SSB-E2A,3,2025-05-01 02:00:00,28739.410,4.839,0.000,0.000,419.901,422.973,425.309,243.947,243.497,245.817,5.057,0.340,0.000,0.578,-0.958,0.976,0.000,nan
MSB-1,57,2025-05-01 02:00:00,14360698.500,0.769,0.822,0.688,417.020,419.100,420.620,242.700,242.040,244.320,0.542,0.183,0.196,0.163,0.979,0.985,0.973,0.978
MSB-1,57,2025-05-01 02:30:00,14360757.000,0.657,0.680,0.543,416.200,418.540,420.120,242.320,241.620,244.040,0.450,0.157,0.163,0.130,-0.986,0.990,-0.981,-0.986
DB-6,4,2025-05-01 02:30:00,229.439,0.811,0.000,1.227,417.212,419.248,423.300,241.991,241.104,244.252,0.352,0.180,0.000,0.172,0.917,0.000,0.573,nan
DB-E6,3,2025-05-01 02:30:00,6405.917,2.502,3.016,1.186,417.497,419.535,423.363,242.229,241.431,244.045,0.914,0.343,0.511,0.060,-0.575,0.702,-0.207,nan
SSB-E5,2,2025-05-01 02:30:00,6638.650,1.093,0.486,1.900,418.109,419.655,423.926,242.694,241.704,244.370,0.717,0.330,0.082,0.323,0.703,-0.504,-0.390,nan
SSB-5,1,2025-05-01 02:30:00,121.795,0.069,1.404,0.009,412.024,412.944,414.971,238.232,237.334,240.405,0.533,0.028,0.004,0.002,-0.668,0.832,0.770,nan
SSB-2,1,2025-05-01 02:30:00,1950.884,0.464,1.913,1.912,422.944,423.162,428.535,244.851,244.185,247.472,0.944,0.083,0.441,0.421,0.727,0.944,0.889,nan
SSB-2,1,2025-05-01 03:00:00,1951.336,0.467,1.909,1.546,423.114,423.086,428.232,244.715,244.107,247.561,0.847,0.086,0.440,0.321,0.752,0.945,-0.838,nan
SSB-E2,2,2025-05-01 03:00:00,18726.072,1.808,1.214,0.542,422.079,426.581,427.663,245.244,244.497,247.503,0.929,0.203,0.403,0.451,-0.768,-0.470,0.658,nan
MSB-1,57,2025-05-01 03:00:00,14360807.300,0.614,0.617,0.482,415.020,417.440,419.340,241.740,240.940,243.520,0.409,0.146,0.147,0.115,0.986,0.991,0.982,0.987
SSB-G,1,2025-05-01 03:00:00,8444.211,2.404,0.247,0.000,423.151,426.316,426.708,245.281,244.588,247.562,0.406,0.406,0.000,0.000,0.688,0.000,0.000,nan
SSB-EG,2,2025-05-01 03:00:00,31846.938,0.000,nan,2.815,nan,425.273,nan,nan,244.370,nan,nan,nan,nan,nan,0.000,0.930,-0.936,nan
SSB-5,1,2025-05-01 03:00:00,12351.652,0.069,0.014,1.497,424.169,426.230,427.969,246.262,245.064,248.364,0.639,0.121,0.204,0.002,0.986,0.575,0.770,nan
SSB-2,1,2025-05-01 03:30:00,1951.779,0.456,1.917,1.661,424.229,424.575,429.425,245.636,244.788,248.332,0.888,0.086,0.443,0.359,0.766,0.944,-0.872,nan
SSB-E2,2,2025-05-01 03:30:00,18726.544,1.769,1.243,0.545,423.115,427.545,428.299,246.007,245.178,248.096,0.928,0.334,0.404,0.088,-0.769,-0.475,0.937,nan
SSB-5,1,2025-05-01 03:30:00,12351.958,1.092,1.448,0.007,425.437,427.849,429.757,247.043,245.839,249.068,0.658,0.141,0.004,0.001,-0.520,0.573,0.766,nan
MSB-1,57,2025-05-01 03:30:00,14360850.500,0.410,0.427,0.279,416.260,419.160,420.720,242.400,241.760,244.540,0.265,0.098,0.102,0.065,-0.988,-0.988,-0.950,-0.977
SSB-G,1,2025-05-01 03:30:00,8444.380,2.614,0.262,0.000,424.656,426.654,427.703,246.116,245.394,248.228,0.455,0.455,0.000,0.000,0.707,0.000,0.000,nan
MSB-1,57,2025-05-01 04:00:00,14360879.500,0.369,0.378,0.238,416.840,419.360,420.780,242.540,242.140,244.500,0.233,0.088,0.090,0.054,-0.987,-0.986,-0.936,-0.974
SSB-G,1,2025-05-01 04:00:00,8444.597,1.217,0.263,0.133,426.200,429.094,429.533,247.257,246.378,249.288,0.264,0.264,0.000,0.000,0.878,0.000,0.000,nan
SSB-E2,2,2025-05-01 04:00:00,18726.978,1.192,1.202,1.959,424.723,429.971,430.657,246.845,246.274,249.242,0.779,0.179,0.144,0.456,-0.609,-0.919,0.656,nan
SSB-2,1,2025-05-01 04:00:00,1952.234,0.461,1.928,1.804,426.341,426.305,431.256,246.649,245.925,249.271,0.936,0.086,0.445,0.405,0.755,0.938,0.901,nan
SSB-5,1,2025-05-01 04:00:00,121.818,0.031,1.458,1.499,428.785,429.371,433.333,247.898,247.095,250.236,0.663,0.143,0.205,0.001,0.911,0.569,0.753,nan
SSB-2,1,2025-05-01 04:30:00,1952.682,0.468,1.896,1.551,422.583,422.053,427.621,244.746,243.737,247.464,0.845,0.088,0.437,0.321,0.765,0.946,-0.836,nan
SSB-E2,2,2025-05-01 04:30:00,18727.384,2.569,1.806,0.556,421.306,426.049,427.472,245.188,244.240,247.194,0.786,0.292,0.149,0.450,-0.852,-0.503,0.941,nan
SSB-E2A,3,2025-05-01 04:30:00,14739.382,1.403,14.091,2.413,421.873,424.939,426.972,244.800,243.832,247.181,0.342,0.730,3.343,0.559,-0.963,0.000,0.000,nan
SSB-3,5,2025-05-01 04:30:00,9850.603,2.054,0.134,1.838,421.033,423.774,426.389,244.463,243.635,247.022,0.594,0.303,0.027,0.264,-0.603,0.840,0.581,nan
SSB-5,1,2025-05-01 04:30:00,121.827,0.031,1.452,0.007,424.368,426.802,428.239,246.158,245.361,248.307,0.547,0.028,0.205,0.314,0.913,0.786,-0.839,nan
SSB-2A,4,2025-05-01 04:30:00,2771.329,1.624,69.221,36.366,421.414,424.609,425.843,244.235,243.888,246.874,33.313,7.763,0.049,0.121,-0.985,-0.997,-0.680,nan
DB-E6,3,2025-05-01 04:30:00,6407.043,2.073,1.206,1.202,424.632,426.669,430.405,246.336,245.629,248.047,0.491,0.324,0.101,0.066,-0.569,-0.341,-0.220,nan
DB-6,4,2025-05-01 04:30:00,230.152,0.815,0.000,1.219,424.065,426.080,430.008,245.982,245.011,248.125,0.356,0.182,0.000,0.174,0.908,0.000,0.575,nan
SSB-2A-1,10,2025-05-01 04:30:00,426713.344,1.331,1.387,1.573,422.502,425.376,429.139,245.289,244.549,247.460,0.000,0.000,0.000,0.000,0.000,0.000,0.000,nan
SSB-G,1,2025-05-01 04:30:00,8444.765,1.223,0.264,0.133,423.384,425.591,426.327,245.251,244.318,247.265,0.247,0.247,0.000,0.000,0.824,0.000,0.000,nan
SSB-EG,2,2025-05-01 04:30:00,9493.483,23.175,0.508,nan,422.381,nan,425.799,244.488,244.222,nan,0.242,nan,2.643,0.130,-0.988,-0.901,0.986,nan
MSB-1,57,2025-05-01 04:30:00,14360905.400,0.354,0.337,0.202,417.760,420.620,422.520,243.400,242.660,245.480,0.208,0.084,0.080,0.044,-0.980,-0.981,-0.884,-0.961
SSB-2-1,9,2025-05-01 04:30:00,342727.584,0.000,0.000,0.000,422.358,425.195,428.973,245.256,244.464,247.298,0.000,0.000,0.000,0.000,0.000,0.000,0.000,nan
SSB-E5,2,2025-05-01 04:30:00,1195.416,1.574,0.673,1.097,423.777,426.586,429.289,246.703,245.811,247.974,0.738,0.048,0.081,0.114,-0.176,-0.655,-0.693,nan
SSB-2,1,2025-05-01 05:00:00,1953.130,0.459,1.903,1.737,422.434,422.248,428.151,244.669,243.951,247.406,0.904,0.085,0.438,0.381,0.756,0.945,0.885,nan
SSB-E2,2,2025-05-01 05:00:00,18727.816,1.409,1.206,0.545,422.106,426.000,427.110,245.093,244.265,247.349,0.689,0.216,0.141,0.448,-0.753,-0.914,0.940,nan
SSB-5,1,2025-05-01 05:00:00,12352.897,0.068,0.019,1.506,424.630,426.762,428.239,246.179,245.432,248.635,0.643,0.122,0.204,0.317,0.980,0.825,-0.848,nan
DB-6,4,2025-05-01 05:00:00,230.329,0.814,0.000,1.212,424.624,426.690,430.606,246.169,245.453,248.519,0.355,0.182,0.000,0.173,0.908,0.000,0.576,nan
DB-E6,3,2025-05-01 05:00:00,6407.340,2.145,1.213,1.204,425.214,427.159,430.848,246.594,245.956,248.326,0.498,0.332,0.103,0.063,-0.540,-0.344,-0.211,nan
SSB-G,1,2025-05-01 05:00:00,8444.875,1.051,0.247,0.141,422.847,425.583,426.054,245.261,244.425,247.373,0.229,0.229,0.000,0.000,0.890,0.000,0.000,nan
SSB-EG,2,2025-05-01 05:00:00,31863.974,0.000,11.562,0.868,421.644,nan,428.591,244.547,244.372,nan,0.261,5.600,1.686,0.197,-0.988,nan,0.922,nan
MSB-1,57,2025-05-01 05:00:00,14360930.700,0.334,0.340,0.200,420.060,422.260,424.660,244.760,243.740,246.480,0.206,0.080,0.081,0.044,-0.977,-0.983,-0.901,-0.962
SSB-E5,2,2025-05-01 05:00:00,6639.410,2.006,0.423,1.076,425.345,427.212,429.766,246.868,245.748,248.340,0.230,0.049,0.081,0.100,0.731,-0.579,-0.386,nan
SSB-2,1,2025-05-01 05:30:00,1953.582,0.454,1.899,1.773,422.206,422.100,427.277,244.545,243.784,246.980,0.916,0.086,0.436,0.394,0.777,0.943,0.898,nan
SSB-E2A,3,2025-05-01 05:30:00,28756.610,1.395,0.000,2.418,422.701,425.197,427.687,244.857,243.930,246.868,4.567,0.670,3.334,0.000,0.994,0.972,-0.936,nan
SSB-E5,2,2025-05-01 05:30:00,1196.155,1.943,0.669,1.847,423.974,426.662,429.477,246.755,245.893,248.334,0.229,0.047,0.081,0.318,0.717,-0.631,-0.384,nan
SSB-E2,2,2025-05-01 05:30:00,18728.218,1.185,1.214,0.549,421.042,424.692,426.092,244.825,244.051,246.847,0.767,0.178,0.403,0.088,-0.614,-0.479,0.940,nan
SSB-5,1,2025-05-01 05:30:00,121.843,1.133,0.034,1.495,424.237,426.071,428.037,246.051,nan,248.215,0.658,0.007,0.204,0.313,0.915,0.578,-0.842,nan
DB-6,4,2025-05-01 05:30:00,230.507,0.816,0.000,1.211,424.854,426.875,430.596,246.341,245.586,248.447,0.356,0.182,0.000,0.173,0.907,0.000,0.576,nan
SSB-G,1,2025-05-01 05:30:00,8445.063,2.399,0.263,0.000,422.622,424.939,425.624,244.998,244.193,246.935,0.403,0.403,0.000,0.000,0.685,0.000,0.000,nan
SSB-EG,2,2025-05-01 05:30:00,9493.683,nan,nan,0.689,nan,425.289,428.303,nan,244.041,247.166,nan,0.000,1.680,0.134,nan,-0.465,nan,nan
MSB-1,57,2025-05-01 05:30:00,14360955.800,0.345,0.337,0.202,416.240,418.680,420.600,242.360,241.680,244.240,0.205,0.081,0.080,0.044,-0.974,-0.979,-0.886,-0.956
DB-E6,3,2025-05-01 05:30:00,6407.609,0.819,1.201,1.203,425.120,426.915,430.632,246.540,245.850,248.190,0.280,0.112,0.102,0.066,-0.556,-0.346,-0.220,nan
SSB-2,1,2025-05-01 06:00:00,1954.019,0.453,1.902,1.935,423.611,423.085,428.564,244.792,244.157,247.396,0.961,0.085,0.439,0.437,0.766,0.944,0.914,nan
SSB-5,1,2025-05-01 06:00:00,121.850,0.720,1.449,1.492,426.194,426.624,428.761,246.567,245.351,248.647,0.621,0.093,0.007,0.316,0.916,0.962,-0.848,nan
SSB-E5,2,2025-05-01 06:00:00,1196.526,1.943,0.668,0.770,424.384,427.175,430.380,246.978,245.966,248.631,0.170,0.337,0.069,0.042,-0.160,-0.631,-0.695,nan
DB-E6,3,2025-05-01 06:00:00,6407.883,2.090,1.197,1.206,425.298,427.285,431.054,246.639,246.078,248.429,0.484,0.321,0.099,0.064,-0.538,-0.336,-0.215,nan
DB-6,4,2025-05-01 06:00:00,230.685,0.814,0.000,1.215,425.025,427.068,430.894,246.370,245.668,248.718,0.356,0.182,0.000,0.173,0.908,0.000,0.574,nan
SSB-G,1,2025-05-01 06:00:00,8445.226,2.647,0.254,0.000,423.462,425.589,426.547,245.335,244.516,247.335,0.473,0.473,0.000,0.000,0.728,0.000,0.000,nan
SSB-EG,2,2025-05-01 06:00:00,31872.158,0.000,11.919,0.699,422.402,426.176,429.060,245.449,244.384,247.618,8.746,0.000,2.667,0.472,nan,0.917,-0.364,nan
DB-M,3,2025-05-01 06:00:00,17483.232,nan,1.066,nan,nan,nan,nan,nan,nan,nan,0.735,nan,0.208,nan,nan,nan,nan,nan
MSB-1,57,2025-05-01 06:00:00,14360980.600,0.365,0.341,0.202,417.100,419.900,421.420,242.780,242.300,244.880,0.212,0.086,0.082,0.044,-0.975,-0.987,-0.894,-0.961
SSB-2,1,2025-05-01 06:30:00,1954.467,0.465,1.903,1.556,423.333,423.218,429.621,245.694,244.461,248.044,0.849,0.088,0.439,0.322,0.773,0.944,-0.834,nan
SSB-E2,2,2025-05-01 06:30:00,18729.038,1.473,1.150,1.936,422.072,427.607,427.921,245.637,244.517,247.860,0.736,0.157,0.127,0.086,-0.771,-0.453,0.941,nan
SSB-E2A,3,2025-05-01 06:30:00,28761.436,4.346,13.981,2.422,424.214,426.998,427.379,245.721,244.752,248.004,0.344,1.017,3.326,0.562,-0.953,0.000,0.000,nan
SSB-5,1,2025-05-01 06:30:00,12353.830,0.031,0.034,0.007,425.889,428.410,429.667,247.153,246.050,249.362,0.568,0.031,0.205,0.001,0.913,0.955,0.758,nan
SSB-E5,2,2025-05-01 06:30:00,6639.827,1.922,0.676,1.145,426.733,428.462,432.154,247.518,246.764,248.971,0.718,0.048,0.082,0.110,0.701,-0.641,-0.420,nan
DB-E6,3,2025-05-01 06:30:00,6408.182,2.145,1.229,1.205,426.239,428.118,431.835,247.170,246.521,248.908,0.488,0.308,0.115,0.065,-0.580,-0.381,-0.216,nan
DB-6,4,2025-05-01 06:30:00,230.863,0.816,0.000,1.208,425.854,427.774,431.665,246.904,246.043,249.140,0.356,0.183,0.000,0.173,0.907,0.000,0.575,nan
SSB-G,1,2025-05-01 06:30:00,8445.450,2.580,0.248,0.141,424.269,426.273,427.729,246.045,245.066,247.916,0.444,0.444,0.000,0.000,0.699,0.000,0.000,nan
SSB-EG,2,2025-05-01 06:30:00,9493.877,nan,0.474,nan,424.148,425.829,429.871,245.976,244.672,247.994,nan,3.200,0.055,nan,0.000,0.916,-0.424,nan
MSB-1,57,2025-05-01 06:30:00,14361005.600,0.330,0.342,0.209,417.780,419.820,422.020,243.320,242.420,244.980,0.206,0.078,0.081,0.046,-0.977,-0.986,-0.906,-0.964
DB-M,3,2025-05-01 06:30:00,17483.596,nan,1.064,nan,nan,nan,nan,nan,nan,247.850,nan,nan,nan,nan,nan,nan,nan,nan
SSB-2,1,2025-05-01 07:00:00,1954.917,0.461,1.903,1.644,424.573,423.712,429.411,245.682,244.547,248.041,0.881,0.087,0.438,0.356,0.770,0.942,-0.872,nan
SSB-5,1,2025-05-01 07:00:00,12354.139,0.038,0.037,1.500,429.344,429.723,433.558,248.331,247.304,250.357,0.018,0.009,0.204,0.001,0.909,0.557,0.714,nan
SSB-E2,2,2025-05-01 07:00:00,18729.428,1.513,1.799,0.552,422.873,427.613,428.791,246.119,244.631,248.159,0.801,0.169,0.159,0.483,-0.441,-0.486,0.667,nan
SSB-EG,2,2025-05-01 07:00:00,31879.000,0.000,0.476,nan,424.029,nan,427.997,nan,245.173,nan,0.116,3.204,0.055,nan,0.000,nan,-0.369,nan
DB-M,3,2025-05-01 07:00:00,17483.960,nan,1.074,nan,423.734,nan,nan,nan,nan,248.203,nan,0.340,nan,0.185,nan,0.790,nan,nan
MSB-1,57,2025-05-01 07:00:00,14361030.400,0.341,0.335,0.201,417.220,419.660,421.320,242.880,242.320,244.720,0.204,0.080,0.079,0.044,-0.969,-0.979,-0.896,-0.958
SSB-G,1,2025-05-01 07:00:00,8445.560,1.242,0.254,0.133,425.201,427.424,427.731,246.136,245.109,248.083,0.252,0.252,0.000,0.000,0.824,0.000,0.000,nan
MSB-1,57,2025-05-01 07:30:00,14361055.400,0.319,0.343,0.203,417.360,419.900,421.940,243.160,242.280,245.080,0.201,0.076,0.082,0.044,-0.972,-0.981,-0.885,-0.956
SSB-G,1,2025-05-01 07:30:00,8445.742,2.432,0.255,0.000,426.493,428.204,429.389,247.042,246.274,248.887,0.411,0.411,0.000,0.000,0.684,0.000,0.000,nan
SSB-2,1,2025-05-01 07:30:00,1955.375,0.454,1.913,1.662,426.712,424.815,431.183,246.603,245.761,248.995,0.891,0.087,0.442,0.363,0.778,0.939,-0.876,nan
SSB-E2,2,2025-05-01 08:00:00,18730.254,1.258,1.135,2.060,424.599,426.941,429.398,246.703,245.752,248.543,0.680,0.189,0.123,0.485,-0.347,-0.443,0.946,nan
SSB-2,1,2025-05-01 08:00:00,1955.812,0.464,1.914,1.548,425.310,424.763,430.433,246.241,245.418,248.666,0.851,0.088,0.441,0.323,0.771,0.938,-0.838,nan
SSB-E2A,3,2025-05-01 08:00:00,14740.593,2.553,13.891,2.400,424.649,427.885,428.611,246.550,245.978,248.714,0.629,0.548,3.299,0.000,0.998,0.967,-0.936,nan
SSB-2-1,9,2025-05-01 08:00:00,342727.584,0.000,0.000,0.000,426.676,428.868,432.775,247.663,246.787,249.379,0.000,0.000,0.000,0.000,0.000,0.000,0.000,nan
SSB-3,5,2025-05-01 08:00:00,9852.804,2.027,0.142,1.888,424.989,427.083,430.050,246.293,245.345,248.718,0.610,0.308,0.027,0.274,-0.617,0.781,0.584,nan
SSB-G,1,2025-05-01 08:00:00,8445.904,2.438,0.249,0.000,425.572,428.033,428.649,246.741,245.850,248.668,0.410,0.410,0.000,0.000,0.681,0.000,0.000,nan
SSB-2A-1,10,2025-05-01 08:00:00,426713.344,1.344,1.399,1.589,426.719,429.049,432.972,247.674,246.809,249.568,0.000,0.000,0.000,0.000,0.000,0.000,0.000,nan
MSB-1,57,2025-05-01 08:00:00,14361079.700,0.326,0.340,0.205,418.500,421.000,422.720,243.660,243.000,245.560,0.204,0.077,0.081,0.045,-0.967,-0.987,-0.902,-0.962
SSB-2A,4,2025-05-01 08:00:00,2773.145,1.622,0.764,35.009,423.970,427.069,429.304,246.052,244.785,248.544,0.450,7.766,16.562,0.349,-0.840,-0.989,-0.987,nan
MSB-1,57,2025-05-01 08:30:00,14361104.000,0.332,0.339,0.202,420.240,422.280,424.880,244.860,244.060,246.280,0.204,0.079,0.081,0.044,-0.971,-0.983,-0.896,-0.960
SSB-EG,2,2025-05-01 08:30:00,31888.080,nan,6.909,0.696,427.039,429.370,430.762,nan,nan,250.042,nan,0.000,1.701,nan,-0.983,-0.437,0.985,nan
SSB-G,1,2025-05-01 08:30:00,8446.110,2.630,0.260,0.000,428.258,430.330,430.581,247.980,247.220,249.897,0.453,0.453,0.000,0.000,0.694,0.000,0.000,nan
DB-6,4,2025-05-01 08:30:00,231.572,0.813,0.000,1.206,423.372,425.364,429.172,245.453,244.723,247.646,0.353,0.182,0.000,0.172,0.911,0.000,0.574,nan
DB-E6,3,2025-05-01 08:30:00,6409.313,2.251,1.179,1.200,423.908,425.714,429.457,245.769,245.184,247.538,0.472,0.305,0.100,0.067,-0.579,-0.348,-0.225,nan
SSB-E5,2,2025-05-01 08:30:00,6640.404,1.999,0.377,1.114,424.578,425.631,429.027,245.490,245.139,247.696,0.241,0.045,0.080,0.170,0.690,-0.491,-0.404,nan
SSB-5,1,2025-05-01 08:30:00,12355.073,0.075,0.014,1.554,424.089,425.933,429.112,245.401,244.907,247.757,0.643,0.119,0.202,0.001,0.986,0.578,-0.843,nan
SSB-2,1,2025-05-01 08:30:00,1956.271,0.452,1.928,1.885,427.560,427.570,432.362,247.541,246.627,249.913,0.950,0.085,0.445,0.421,0.755,0.935,0.894,nan
SSB-2,1,2025-05-01 09:00:00,1956.729,0.463,1.927,1.548,428.465,427.728,432.994,247.818,246.807,250.061,0.859,0.089,0.445,0.325,0.777,0.935,-0.839,nan
SSB-5,1,2025-05-01 09:00:00,12355.401,1.647,0.009,0.007,423.788,425.214,428.303,245.090,244.447,247.247,0.721,0.008,0.002,0.313,0.914,0.847,-0.844,nan
SSB-E5,2,2025-05-01 09:00:00,6640.544,1.113,0.668,1.050,422.413,424.909,428.447,245.779,244.987,247.074,0.573,0.048,0.080,0.102,-0.177,-0.639,-0.574,nan
DB-6,4,2025-05-01 09:00:00,231.749,0.813,0.000,1.202,422.927,424.700,428.611,245.196,244.393,247.270,0.355,0.182,0.000,0.174,0.910,0.000,0.584,nan
SSB-G,1,2025-05-01 09:00:00,8446.282,1.445,0.253,0.141,429.141,430.700,431.531,248.385,247.440,250.119,0.296,0.296,0.000,0.000,0.825,0.000,0.000,nan
SSB-EG,2,2025-05-01 09:00:00,9494.324,nan,0.452,1.832,nan,429.593,431.546,nan,247.343,nan,0.115,nan,0.052,nan,0.000,nan,nan,nan
DB-E6,3,2025-05-01 09:00:00,6409.609,2.107,1.185,1.200,423.362,425.001,428.796,245.439,244.849,247.095,0.454,0.284,0.106,0.064,-0.548,-0.365,-0.217,nan
MSB-1,57,2025-05-01 09:00:00,14361128.300,0.306,0.331,0.201,419.600,421.920,423.820,244.320,243.580,246.120,0.195,0.072,0.079,0.044,-0.973,-0.977,-0.890,-0.956
MSB-1,57,2025-05-01 09:30:00,14361152.600,0.324,0.337,0.201,421.360,423.180,425.180,245.260,244.500,246.820,0.203,0.078,0.081,0.044,-0.974,-0.987,-0.895,-0.962
SSB-G,1,2025-05-01 09:30:00,8446.437,2.492,0.255,0.124,431.091,433.218,433.596,249.583,248.718,251.429,0.418,0.418,0.000,0.000,0.672,0.000,0.000,nan
SSB-E2A,3,2025-05-01 09:30:00,14741.110,2.375,13.963,2.389,429.666,432.227,433.134,249.175,248.138,251.229,0.349,0.526,3.327,0.558,0.994,0.000,-0.928,nan
SSB-E2,2,2025-05-01 09:30:00,18731.606,1.425,1.781,0.538,428.501,432.617,433.635,249.406,248.061,251.338,0.833,0.224,0.146,0.462,-0.628,-0.499,0.664,nan
SSB-2,1,2025-05-01 09:30:00,1957.170,0.440,1.954,1.896,430.265,429.319,435.218,249.181,248.168,251.393,0.971,0.086,0.451,0.434,0.783,0.930,0.910,nan
SSB-2,1,2025-05-01 10:00:00,1957.638,0.460,1.904,1.641,424.160,422.988,429.165,245.461,244.592,247.654,0.882,0.088,0.439,0.355,0.778,0.944,-0.873,nan
